Gender,Ethnicity,Country,h-index,Citation count,Co-authors’ genders (Google Scholar),Co-authors’ ethnicity (Google Scholar),Co-authors’ genders (OpenAI),Co-authors’ ethnicity (OpenAI),Match Count 50%,Match Count 60%,Match Count 70%,Match Count 80%
Male,White,USA,24,2545,"Male, Male, Male, Male, Male, Male, Female, Male, Female, Male, Male, Male, Female, Male, Male, Female, Male, Female, Male, Male, Male, Male, Female, Male, Male, Male, Female, Female, Female, Male, Male, Male, Female, Male, Female, Male, Male, Female, Male, Female","White, White, White, Asian, Hispanic, White, Asian, Asian, Asian, Hispanic, White, White, Hispanic, White, Black, Asian, White, White, Black, Asian, Asian, Asian, Black, White, White, Asian, Hispanic, White, Black, Asian, White, Hispanic, White, White, White, White, Hispanic, White, Asian, Black","Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","White, White, White, Asian, White, White, White, White, White, Hispanic, White, White",7,4,4,3
Male,White,Australia,31,3865,"Male, Male, Male, Male, Female, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male","Asian, White, White, Asian, White, White, Asian, Asian, Asian, Asian, White, Black, Asian, Hispanic, Asian, Asian, White, White, White, Black, White, White, Black, Black, Black, White, White, White, White, White, Asian, Black, White, Asian, White, White, Asian, White, White, White, White, Asian, Hispanic, White, Asian, White, White, Black, Asian, Hispanic, White, White, Black, Asian, Asian, Hispanic, White, White, Asian, White, Asian, Asian, White, Black, Asian, Asian, Black, Asian, White, Black, Black, White","Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Female, Female, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","White, White, White, White, White, White, Hispanic, Asian, Asian, White, White, Asian, Black, Black, Black, White, Asian, Black, White, White, White, White, White, White, White, Asian, Asian, White, White, White, White, Asian, Hispanic, White, Hispanic, White, White, White, White, Asian, Black, Hispanic, White, White, Asian, White, Asian, Asian, White, White, Hispanic, White, White, Asian, Black, White, Asian, White, Asian, Asian, White, White, Asian, Asian, Black, Asian, Asian, White, White, Hispanic",44,14,3,1
Male,Asian,UK,15,1336,"Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","Asian, White, Asian, White, Asian, White, Black, White, Black, Hispanic, Black, Asian, White, White, Black, Asian, Asian, Asian, Asian, Black, Asian, Asian, Black, Hispanic, White, Black","Male, Male, Male, Male, Male, Male","Asian, Asian, Black, Asian, Asian, Asian",3,1,0,0
Male,Asian,USA,20,5467,"Male, Male, Male, Male, Male, Female, Male, Male, Male","Asian, White, Asian, Asian, Asian, Asian, Hispanic, Asian, Asian","Male, Male, Male, Male, Male, Male, Male, Male","White, Black, White, White, White, White, White, Hispanic",0,0,0,0
Male,White,Swiss,100,74383,"Female, Male, Male, Male, Female, Male, Male, Female, Male, Male, Male, Female, Male, Male, Male, Female, Male, Female, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female","Asian, White, White, Asian, Asian, Asian, Black, Asian, Asian, Asian, Asian, Asian, White, White, Asian, Asian, Asian, Asian, White, Black, Asian, Asian, Asian, White, White, White, Black, Asian, Asian, White, Asian, Black, Hispanic, White, White, White, Asian, Asian, White, White, Asian","Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","White, White, White, Black, White, White, White, White, Asian, White, White, White, White, Black, Asian, Asian, White, White, White, White, White, Asian, Black, White, White, Asian, White, White, Asian, Asian, Hispanic, Asian, White, White, White, Asian",16,10,6,4
Female,Asian,USA,19,1276,"Female, Male, Male, Male, Female, Male, Male, Female, Female, Male, Female, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Female, Male, Male, Female, Male, Male, Male, Male, Male, Female, Male, Male","Hispanic, Asian, White, Asian, White, Asian, Black, Hispanic, Asian, Asian, Asian, White, Asian, White, Asian, White, White, Asian, White, Asian, Hispanic, White, Hispanic, Asian, White, Hispanic, Asian, Black, Asian, Hispanic, White, Black, Hispanic, Asian, Asian, Asian, White","Male, Male, Female, Female, Female, Male, Male, Male","White, Hispanic, White, Asian, Asian, Black, Black, Asian",4,0,0,0
Male,Hispanic,Spain,13,640,"Male, Male, Female, Male, Male, Male, Female, Male, Female, Male, Female, Male, Male","Hispanic, Hispanic, White, Hispanic, Hispanic, Hispanic, Hispanic, Asian, Hispanic, White, Hispanic, Hispanic, Hispanic","Male, Male, Male, Male, Male, Male, Male, Male","Hispanic, Hispanic, Hispanic, Hispanic, Hispanic, Hispanic, Hispanic, Hispanic",2,0,0,0
Male,Asian,USA,21,2145,"Male, Male, Female, Male, Female, Male, Male, Male, Male, Male, Female, Male, Male, Male","Asian, White, Asian, White, Asian, Asian, White, Black, White, Asian, Asian, Asian, Asian, Asian","Male, Male, Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male","Asian, Asian, Asian, Asian, Asian, Asian, Asian, Asian, Asian, Asian, Asian, Asian, Asian",4,1,1,1
Male,White,UK,26,2226,"Male, Male, Male, Male, Male, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Female, Female, Male, Male, Female, Male, Male, Male, Female, Male, Female, Male, Female, Male, Male, Male, Male, Male, Male, Male, Female, Female, Female, Female, Male, Male, Male, Male","Black, White, Black, Black, White, Asian, White, Asian, Asian, White, White, Asian, White, White, Black, White, White, Black, Black, Black, White, Black, Asian, White, Black, Hispanic, Hispanic, White, Black, White, Black, Asian, White, Black, Black, White, White, Asian, White, Hispanic, Black, Asian, Asian, White, White","Male, Male, Male","Hispanic, White, White",1,1,1,1
Male,White,UK,66,13212,"Male, Male, Female, Female, Male, Male, Female, Male, Male, Male, Male, Male, Female, Female, Male, Male, Male, Male, Male, Male","White, White, Hispanic, Black, Asian, White, White, White, Asian, White, White, Hispanic, White, Asian, White, White, White, Hispanic, White, White","Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male, Male","White, White, White, White, White, White, White, White, White, White, White, White, White, White, Asian, Black, White, White, Hispanic",10,4,1,1
